id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,I,1.2375,1.0125,0.3125,15.989118,7.8528115,3.118445,4.1106775,8.0
1,F,1.6375,1.3125,0.4875,40.78075575,12.643877,9.5537815,12.757275,15.0
2,M,1.1625,0.925,0.3125,14.968536,6.39281225,3.8271825,4.252425,9.0
3,M,1.3125,1.0,0.3875,23.09066775,12.48795475,5.59902625,4.3941725,9.0
4,M,1.375,1.0625,0.3375,21.9708625,9.6671795,4.46504625,5.953395,9.0
5,M,1.2125,0.975,0.325,15.77649675,6.27941425,3.04757125,4.762716,8.0
6,I,0.9125,0.675,0.2375,6.1518415,2.721552,1.0489315,1.984465,7.0
7,F,1.4,1.0625,0.375,24.70658925,10.19164525,6.0951425,7.37087,9.0
8,M,1.3,1.0,0.35,20.87940675,9.808927,4.025629,5.2446575,12.0
9,M,1.4,1.1,0.3125,26.0531905,11.72251825,4.3941725,7.2291225,8.0
10,M,1.45,1.1,0.4,24.4656185,10.2341695,4.5075705,7.5126175,10.0
11,F,1.5375,1.2,0.5,34.5013415,10.3475675,7.52679225,10.0640725,23.0
12,M,1.575,1.2125,0.3875,29.596878,12.85649825,7.0590255,7.93786,9.0
13,I,1.3,1.0125,0.3,16.51358375,8.12213175,3.50116325,5.216308,8.0
14,M,1.5,1.1875,0.4375,31.18445,14.401546,7.994559,8.23552975,10.0
15,M,1.575,1.1875,0.4,33.29648775,15.80484625,6.7755305,9.4970825,10.0
16,F,1.5625,1.25,0.4,36.27318525,14.84096325,7.49844275,10.0640725,11.0
17,F,1.4875,1.15,0.4125,27.8675585,12.20445975,6.73300625,7.5126175,9.0
18,F,1.15,0.8875,0.3,12.74310025,5.0178615,2.778251,3.5436875,11.0
19,M,1.325,1.0625,0.3625,21.44639675,10.47514025,4.6776675,5.953395,9.0
20,I,1.1875,0.9,0.225,12.26115875,5.8683465,2.42388225,4.1673765,8.0
21,M,1.175,0.9,0.3,16.726205,6.67630725,3.572037,5.2446575,8.0
22,M,1.15,0.8875,0.325,13.53688625,5.71242425,2.721552,4.1106775,11.0
23,F,1.175,0.8875,0.3125,12.5021295,4.23825025,2.721552,4.252425,9.0
24,I,1.0,0.725,0.225,7.24329725,3.515338,1.11980525,2.26796,6.0
25,I,0.925,0.675,0.225,6.0384435,3.061746,1.77184375,1.984465,8.0
26,I,0.7375,0.55,0.1625,3.67126025,1.4458245,0.793786,0.9922325,6.0
27,I,1.25,0.95,0.35,17.5483405,7.3992195,4.0539785,5.00368675,9.0
28,F,1.4,1.125,0.4,28.05183025,12.74310025,7.087375,7.93786,10.0
29,F,1.6125,1.2625,0.425,33.8776525,10.149121,6.56290925,13.324265,16.0
30,F,1.1875,0.9375,0.3625,13.22504175,5.37223025,3.01922175,4.819415,10.0
31,I,0.925,0.6875,0.225,6.2085405,3.118445,1.1623295,1.8994165,6.0
32,I,1.05,0.8125,0.225,9.525432,4.77689075,1.417475,2.83495,6.0
33,I,0.8875,0.7125,0.2125,6.23689,2.948348,1.13398,1.8427175,7.0
34,M,1.6125,1.175,0.4375,39.02308675,19.5895045,6.4920355,9.922325,10.0
35,M,1.25,0.8875,0.375,16.51358375,5.159609,3.64291075,7.2291225,12.0
36,F,1.2125,0.9875,0.35,14.55746825,5.6699,3.7704835,4.3941725,11.0
37,F,1.1625,0.925,0.3125,14.35902175,5.82582225,2.5798045,4.252425,12.0
38,I,0.3875,0.2625,0.075,0.680388,0.2551455,0.1417475,0.21262125,5.0
39,M,1.8,1.425,0.5125,53.410458,26.932025,13.551061,14.3164975,23.0
40,I,1.3,1.025,0.35,23.0481435,11.736693,4.01145425,5.953395,11.0
41,M,1.2625,0.975,0.3,16.8679525,6.76135575,4.025629,5.10291,11.0
42,M,1.6375,1.2625,0.4125,36.117263,16.726205,8.391452,9.07184,11.0
43,F,1.5625,1.25,0.4,39.7743485,16.329312,8.46232575,11.056305,13.0
44,I,1.025,0.775,0.2375,9.4970825,4.20990075,1.45999925,2.9766975,9.0
45,M,1.7375,1.375,0.5125,52.673371,21.8007655,10.36174225,16.3009625,20.0
46,F,1.55,1.225,0.375,32.16250775,14.92601175,6.13766675,8.9300925,12.0
47,I,1.1,0.825,0.3,10.21999475,4.309124,2.84912475,3.40194,9.0
48,I,1.1,0.875,0.3125,11.18387775,4.9044635,2.45223175,3.685435,8.0
49,F,1.55,1.2375,0.425,31.3828965,11.113004,7.200773,9.63883,13.0
50,I,0.9,0.6,0.225,6.293589,2.7499015,1.0489315,1.5592225,7.0
51,M,1.3,0.9625,0.325,18.597272,9.8372765,3.855532,4.819415,8.0
52,F,1.7,1.3,0.4375,42.354153,16.329312,8.7599955,11.72251825,14.0
53,F,1.35,1.0625,0.3375,21.27629975,9.355335,4.52174525,6.0384435,10.0
54,M,1.5875,1.2875,0.4125,35.096681,14.401546,8.278054,9.39785925,10.0
55,F,1.5,1.2375,0.45,32.6869735,15.138633,7.314171,9.922325,11.0
56,F,1.375,1.1,0.4375,28.50542225,10.78698475,5.40057975,11.623295,17.0
57,M,1.7375,1.35,0.45,49.5265765,21.262125,10.432616,14.17475,11.0
58,M,1.5875,1.275,0.4125,34.79901125,13.097469,7.64019025,10.0640725,13.0
59,I,1.5875,1.3125,0.4,38.76794125,17.73261225,7.75358825,9.63883,15.0
60,M,1.225,0.975,0.3375,15.762322,6.0384435,3.07592075,4.5642695,10.0
